stage,metric,method,feature_lineage,k1_pct,k2_pct,k5_pct,k10_pct,k20_pct,comparison_boundary
Stage2-B,old_acc,Direct ADV3B02,strict ADV3B02 checkpoint,75.21,75.21,75.21,75.21,75.21,K-independent direct classifier
Stage2-B,old_acc,MRIOR-SDA,strict ADV3B02 feature extractor and method adaptation,69.88,73.71,79.17,84.50,88.31,old-class adaptation only
Stage2-B,old_acc,DADDA-SDA,strict ADV3B02 feature extractor and method adaptation,72.58,73.27,76.74,79.36,82.61,old-class adaptation only
Stage2-B,old_acc,ProtoNet CDA,strict ADV3B02 feature extractor and support prototypes,59.47,65.68,70.28,70.86,73.07,old-class adaptation only
Stage2-C,H_old_new,CSIL,method-native historical pipeline,16.23,19.34,18.05,17.69,9.45,not a strict shared-ADV3B02 head-only ablation
Stage2-C,H_old_new,MoPC-HR,method-native historical pipeline,14.70,18.45,24.17,30.93,37.30,not a strict shared-ADV3B02 head-only ablation
Stage2-C,H_old_new,Orthogonal Incremental,method-native historical pipeline,9.88,8.16,6.84,7.73,6.00,not a strict shared-ADV3B02 head-only ablation
Stage2-C,H_old_new,Single qKNN head plus FFT96,strict ADV3B02 plus one-view FFT96,49.49,57.83,66.02,71.70,74.59,per-sample non-Oracle non-dense formal result
Stage2-C,H_old_new,qKNN E2,strict ADV3B02 plus E2 adapter plus 5-view TTA plus FFT96,54.27,62.77,71.90,77.34,80.44,per-sample non-Oracle non-dense extreme-light
Stage2-C,H_old_new,qKNN E5,strict ADV3B02 plus E5 adapter plus 5-view TTA plus FFT96,55.41,63.80,72.82,78.20,81.54,per-sample non-Oracle non-dense extreme-light
Stage2-C,H_old_new,qKNN E10,strict ADV3B02 plus E10 adapter plus 5-view TTA plus FFT96,56.67,64.72,73.88,79.40,82.48,per-sample non-Oracle non-dense extreme-light
Stage2-C,H_old_new,qKNN E20,strict ADV3B02 plus E20 adapter plus 5-view TTA plus FFT96,58.03,65.77,74.29,79.97,82.76,per-sample non-Oracle non-dense extreme-light upper bound
Stage2-C,H_old_new,qKNN E30,strict ADV3B02 plus E30 adapter plus 5-view TTA plus FFT96,59.01,67.87,75.99,81.16,83.96,per-sample non-Oracle non-dense performance-relaxed
Stage2-C,H_old_new,qKNN E60,strict ADV3B02 plus E60 adapter plus 5-view TTA plus FFT96,60.13,68.84,76.72,81.74,84.61,per-sample non-Oracle non-dense resource control above epoch cap
Stage2-C,H_old_new,Legacy dense qKNN diagnostic,strict ADV3B02 plus E60 adapter plus 5-view TTA plus FFT96,61.10,69.91,76.93,82.07,85.04,dense-transductive historical diagnostic only
Stage2-C,seen_new_acc,Single qKNN head plus FFT96,strict ADV3B02 plus one-view FFT96,44.90,52.87,60.80,67.80,71.00,per-sample non-Oracle non-dense formal result
Stage2-C,seen_new_acc,qKNN E2,strict ADV3B02 plus E2 adapter plus 5-view TTA plus FFT96,51.07,60.03,69.30,76.27,79.67,per-sample non-Oracle non-dense extreme-light
Stage2-C,seen_new_acc,qKNN E5,strict ADV3B02 plus E5 adapter plus 5-view TTA plus FFT96,51.27,60.67,69.80,76.70,80.47,per-sample non-Oracle non-dense extreme-light
Stage2-C,seen_new_acc,qKNN E10,strict ADV3B02 plus E10 adapter plus 5-view TTA plus FFT96,53.30,61.50,71.63,78.77,81.90,per-sample non-Oracle non-dense extreme-light
Stage2-C,seen_new_acc,qKNN E20,strict ADV3B02 plus E20 adapter plus 5-view TTA plus FFT96,55.07,62.10,71.63,78.93,82.27,per-sample non-Oracle non-dense extreme-light upper bound
Stage2-C,seen_new_acc,qKNN E30,strict ADV3B02 plus E30 adapter plus 5-view TTA plus FFT96,56.70,65.40,74.33,80.60,84.17,per-sample non-Oracle non-dense performance-relaxed
Stage2-C,seen_new_acc,qKNN E60,strict ADV3B02 plus E60 adapter plus 5-view TTA plus FFT96,59.03,66.70,75.47,81.80,84.93,per-sample non-Oracle non-dense resource control above epoch cap
Stage2-C,seen_new_acc,Legacy dense qKNN diagnostic,strict ADV3B02 plus E60 adapter plus 5-view TTA plus FFT96,58.80,68.00,75.60,81.87,84.87,dense-transductive historical diagnostic only
