run,family,row,epoch,kind,path,clean,clean_correct,leo_clear_weak,leo_clear_weak_correct,leo_low_elev_weak,leo_low_elev_weak_correct,leo_rain_weak,leo_rain_weak_correct,leo_mean,scene_floor,class_leo,weak_class_leo,weak_class
a1_ecrs_cross_rx_s392005_20260909_r1,X/ECRS,X0_A1_RUNTIME,200,final_only,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X0_A1_RUNTIME/target_prediction/score.json,78.46964285714286,131829,69.19999999999999,116256,67.51071428571429,113418,67.66309523809524,113674,68.12460317460318,67.51071428571429,"[73.3142857142857, 35.06071428571429, 61.0892857142857, 58.44880952380952, 95.94999999999999, 84.88452380952383]",35.06071428571429,1
a1_ecrs_cross_rx_s392005_20260909_r1,X/ECRS,X1_CROSS_RX_CLEAN,200,final_only,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X1_CROSS_RX_CLEAN/target_prediction/score.json,79.1327380952381,132943,69.67023809523809,117046,67.83214285714286,113958,68.04761904761905,114320,68.51666666666667,67.83214285714286,"[74.16547619047618, 35.452380952380956, 62.20952380952381, 58.261904761904766, 96.14285714285715, 84.86785714285713]",35.452380952380956,1
a1_ecrs_cross_rx_s392005_20260909_r1,X/ECRS,X2_CROSS_RX_VIEWS,200,final_only,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X2_CROSS_RX_VIEWS/target_prediction/score.json,78.42023809523809,131746,69.27678571428572,116385,67.64345238095238,113641,67.7017857142857,113739,68.20734126984128,67.64345238095238,"[75.37261904761904, 34.319047619047616, 59.93809523809524, 58.679761904761904, 95.39999999999999, 85.53452380952382]",34.319047619047616,1
a1_ecrs_cross_rx_s392005_20260909_r1,X/ECRS,X3_WARM_EMA,200,final_only,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X3_WARM_EMA/target_prediction/score.json,78.73392857142856,132273,69.45595238095238,116686,67.69940476190476,113735,67.95238095238095,114160,68.36924603174604,67.69940476190476,"[73.98214285714285, 34.647619047619045, 63.544047619047625, 58.964285714285715, 95.71785714285714, 83.35952380952381]",34.647619047619045,1
a1_ecrs_cross_rx_s392005_20260909_r1,X/ECRS,X4_COVERAGE_KL,200,final_only,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X4_COVERAGE_KL/target_prediction/score.json,78.4297619047619,131762,68.88511904761904,115727,67.23928571428571,112962,67.4375,113295,67.85396825396826,67.23928571428571,"[72.30119047619047, 34.43452380952381, 60.81428571428572, 59.07976190476191, 96.21428571428572, 84.27976190476191]",34.43452380952381,1
a1_ecrs_cross_rx_s392005_20260909_r1,X/ECRS,X5_BALANCED_L,200,final_only,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X5_BALANCED_L/target_prediction/score.json,78.25,131460,65.4029761904762,109877,64.03928571428571,107586,64.10357142857143,107694,64.51527777777777,64.03928571428571,"[64.52142857142857, 30.664285714285715, 53.201190476190476, 61.43452380952382, 91.99404761904763, 85.27619047619048]",30.664285714285715,1
a1_ecrs_cross_rx_s392005_20260909_r1,X/ECRS,X6_BOUNDED_DOMAIN,200,final_only,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X6_BOUNDED_DOMAIN/target_prediction/score.json,78.73154761904762,132269,68.27559523809525,114703,66.46666666666667,111664,66.54464285714286,111795,67.09563492063492,66.46666666666667,"[72.2559523809524, 33.12738095238095, 60.280952380952385, 59.964285714285715, 93.53928571428571, 83.4059523809524]",33.12738095238095,1
a1_ecrs_cross_rx_s392005_20260909_r1,X/ECRS,X7_COMBINED,200,final_only,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X7_COMBINED/target_prediction/score.json,75.99761904761905,127676,65.05833333333332,109298,63.463095238095235,106618,63.774404761904755,107141,64.0986111111111,63.463095238095235,"[63.48333333333334, 28.998809523809523, 53.56428571428571, 60.27142857142857, 91.61904761904763, 86.65476190476188]",28.998809523809523,1
a1_extended_s392005_20260910_r1,长训练,R3_CLEAN_RX_E400,200,periodic,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_extended_s392005_20260910_r1/R3_CLEAN_RX_E400/target_epochs/E200/score.json,77.14107142857142,129597,69.4297619047619,116642,68.06190476190476,114344,68.25297619047619,114665,68.58154761904763,68.06190476190476,"[80.37261904761905, 29.632142857142856, 61.98809523809525, 60.945238095238096, 95.95476190476192, 82.59642857142856]",29.632142857142856,1
a1_extended_s392005_20260910_r1,长训练,R3_CLEAN_RX_E400,220,periodic,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_extended_s392005_20260910_r1/R3_CLEAN_RX_E400/target_epochs/E220/score.json,77.02202380952382,129397,70.0375,117663,68.72202380952382,115453,68.93511904761904,115811,69.23154761904762,68.72202380952382,"[81.39404761904761, 31.18095238095238, 61.10119047619048, 60.80952380952382, 96.38928571428572, 84.51428571428572]",31.18095238095238,1
